Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
ITC,120 - 180,12 - 25,Occipital Midline,0.180959609091078,0.08044817074339602,-0.0035743798380282,-0.03,0.02,0.5065009029681138,0.28,0.68,23.57716905482718,19.81519386338661,27.33914424626775,0.5103844040188611,0.29,0.68,0.0597090070370137
ITC,120 - 180,12 - 25,Parieto-Occipital Left,0.22547063727417177,0.09320464430927662,-0.0099689397260519,-0.03,0.01,0.6068631301532509,0.41,0.75,22.14282283370334,18.605532334885066,25.680113332521625,0.6024267060967651,0.41,0.74,0.0564721772453435
ITC,120 - 180,12 - 25,Parieto-Occipital Midline,0.18070045508200003,0.07922010721009601,-0.0052020993321889,-0.02,0.01,0.6548148137335017,0.48,0.78,20.650333789262763,17.34683582759742,23.953831750928103,0.650713549362057,0.47,0.78,0.0477364011866369
ITC,120 - 180,12 - 25,Parieto-Occipital Right,0.15786927747365884,0.06975329403385219,-0.0002301383053736,-0.01,0.01,0.6993681490438026,0.54,0.81,15.521075045447978,13.021055286786677,18.02109480410928,0.7005477114381121,0.54,0.81,0.0342778854861317
ITC,120 - 180,12 - 25,Temporal Left,0.18521766012619356,0.07039005109764972,-0.0022395172986934,-0.02,0.02,0.4410304369603021,0.2,0.63,23.877419718279334,20.06841144163669,27.68642799492197,0.4400703730172176,0.2,0.63,0.0574237049805276
ITC,120 - 180,12 - 25,Temporal Right,0.19696193758220287,0.08728405198575444,0.015744025824832,-0.0,0.03,0.5785823400471671,0.37,0.73,22.28668457849759,18.726858703329324,25.846510453665857,0.5636147444365134,0.36,0.72,0.0514522561404196
RSP,120 - 180,12 - 25,Anterior-Frontal Left,44.209476231868805,6.741480720084792,0.2242439947501518,-0.71,1.16,0.8760227862921267,0.8,0.93,4.542878445521254,3.762549994492044,5.323206896550463,0.8765772168234791,0.8,0.93,2.460888082294023
RSP,120 - 180,12 - 25,Anterior-Frontal Midline,44.015471476692056,6.847557412191125,0.3332084926383172,-0.54,1.21,0.8987898270182405,0.83,0.94,4.264453267367433,3.5277390251327936,5.001167509602071,0.8992457756333707,0.84,0.94,2.315128723380094
RSP,120 - 180,12 - 25,Anterior-Frontal Right,43.95894664932755,6.979986854632916,0.105130768411203,-0.89,1.1,0.8723496714026526,0.79,0.92,4.760224768559824,3.945849871097171,5.574599666022476,0.8738597896090473,0.79,0.92,2.610653022308019
RSP,120 - 180,12 - 25,Centro-Parietal Left,45.1510425284496,7.9141634797341815,-0.2221353241972004,-1.36,0.92,0.872687005530261,0.79,0.92,5.6290711383341465,4.67859487520834,6.5795474014599495,0.8741283114334965,0.8,0.92,3.0121669625598275
